Comparing: e1-dos, e1, W, D, e2

File                                              e1-dos              e1               W               D              e2
ACTIONS/000251.FAN                                    23               -               -               -               -
ACTIONS/000252.FAN                                    24               -               -               -               -
ACTIONS/000253.FAN                                    23               -               -               -               -
ACTIONS/000254.FAN                                    24               -               -               -               -
ACTIONS/000255.FAN                                    24               -               -               -               -
ACTIONS/000256.FAN                                    24               -               -               -               -
ACTIONS/000257.FAN                                    23               -               -               -               -
ACTIONS/000258.FAN                                    23               -               -               -               -
ACTIONS/000259.FAN                                    23               -               -               -               -
ACTIONS/000260.FAN                                    24               -               -               -               -
ACTIONS/000261.FAN                                    24               -               -               -               -
ACTIONS/000262.FAN                                    24               -               -               -               -
ACTIONS/000263.FAN                                    24               -               -               -               -
ACTIONS/000264.FAN                                    24               -               -               -               -
ACTIONS/000265.FAN                                    23               -               -               -               -
ACTIONS/000266.FAN                                    23               -               -               -               -
ACTIONS/000267.FAN                                    23               -               -               -               -
ACTIONS/000268.FAN                                    23               -               -               -               -
ACTIONS/000269.FAN                                    23               -               -               -               -
ACTIONS/000270.FAN                                    25               -               -               -               -
ACTIONS/000271.FAN                                    25               -               -               -               -
ACTIONS/000272.FAN                                    25               -               -               -               -
ACTIONS/000273.FAN                              27/nns=0               -               -               -               -
ACTIONS/000274.FAN                              27/nns=0               -               -               -               -
ACTIONS/000275.FAN                                    23               -               -               -               -
ACTIONS/000276.FAN                                    23               -               -               -               -
ACTIONS/000277.FAN                                    25               -               -               -               -
ACTIONS/000278.FAN                              27/nns=0               -               -               -               -
ACTIONS/000279.FAN                                    23               -               -               -               -
ACTIONS/000280.FAN                                    23               -               -               -               -
ACTIONS/000281.FAN                                    23               -               -               -               -
ACTIONS/000282.FAN                                    23               -               -               -               -
ACTIONS/000283.FAN                                    24               -               -               -               -
ACTIONS/000284.FAN                                    23               -               -               -               -
ACTIONS/000285.FAN                                    23               -               -               -               -
ACTIONS/000286.FAN                                    23               -               -               -               -
ACTIONS/000287.FAN                                    24               -               -               -               -
ACTIONS/000288.FAN                                    24               -               -               -               -
ACTIONS/000289.FAN                                    23               -               -               -               -
ACTIONS/000290.FAN                                    25               -               -               -               -
ACTIONS/000291.FAN                                    25               -               -               -               -
ACTIONS/000292.FAN                                    24               -               -               -               -
ACTIONS/000293.FAN                                    23               -               -               -               -
ACTIONS/000294.FAN                                    24               -               -               -               -
ACTIONS/000295.FAN                                    24               -               -               -               -
ACTIONS/000296.FAN                                    24               -               -               -               -
ACTIONS/000297.FAN                                    24               -               -               -               -
ACTIONS/000298.FAN                                    24               -               -               -               -
ACTIONS/000299.FAN                                    23               -               -               -               -
ACTIONS/000300.FAN                                    24               -               -               -               -
ACTIONS/000301.FAN                                    24               -               -               -               -
ACTIONS/000302.FAN                                    23               -               -               -               -
ACTIONS/000303.FAN                                    24               -               -               -               -
ACTIONS/000304.FAN                                    24               -               -               -               -
ACTIONS/000305.FAN                                    24               -               -               -               -
ACTIONS/000306.FAN                                    24               -               -               -               -
ACTIONS/000307.FAN                                    24               -               -               -               -
ACTIONS/000308.FAN                                    24               -               -               -               -
ACTIONS/000309.FAN                                    23               -               -               -               -
ACTIONS/000310.FAN                                    23               -               -               -               -
ACTIONS/000311.FAN                                    23               -               -               -               -
ACTIONS/000312.FAN                                    23               -               -               -               -
ACTIONS/000313.FAN                                    23               -               -               -               -
ACTIONS/000314.FAN                                    23               -               -               -               -
ACTIONS/000315.FAN                                    23               -               -               -               -
ACTIONS/000316.FAN                                    24               -               -               -               -
ACTIONS/000317.FAN                                    24               -               -               -               -
ACTIONS/000318.FAN                                    23               -               -               -               -
ACTIONS/000319.FAN                                    24               -               -               -               -
ACTIONS/000320.FAN                                    23               -               -               -               -
ACTIONS/000321.FAN                                    23               -               -               -               -
ACTIONS/000322.FAN                                    23               -               -               -               -
ACTIONS/000323.FAN                                    23               -               -               -               -
ACTIONS/000324.FAN                                    23               -               -               -               -
ACTIONS/000325.FAN                                    23               -               -               -               -
ACTIONS/000326.FAN                                    23               -               -               -               -
ACTIONS/000327.FAN                                    23               -               -               -               -
ACTIONS/000328.FAN                                    23               -               -               -               -
ACTIONS/000329.FAN                                    23               -               -               -               -
ACTIONS/000330.FAN                                    23               -               -               -               -
ACTIONS/000331.FAN                                    24               -               -               -               -
ACTIONS/000332.FAN                                    23               -               -               -               -
ACTIONS/000333.FAN                                    23               -               -               -               -
ACTIONS/000334.FAN                                    23               -               -               -               -
ACTIONS/000335.FAN                                    23               -               -               -               -
ACTIONS/000336.FAN                                    23               -               -               -               -
ACTIONS/000337.FAN                                    23               -               -               -               -
ACTIONS/000338.FAN                                    23               -               -               -               -
ACTIONS/000339.FAN                                    24               -               -               -               -
ACTIONS/000340.FAN                                    24               -               -               -               -
ACTIONS/000341.FAN                                    24               -               -               -               -
ACTIONS/000342.FAN                                    24               -               -               -               -
ACTIONS/000343.FAN                                    23               -               -               -               -
ACTIONS/000344.FAN                                    23               -               -               -               -
ACTIONS/000345.FAN                                    23               -               -               -               -
ACTIONS/000346.FAN                                    23               -               -               -               -
ACTIONS/000347.FAN                                    23               -               -               -               -
ACTIONS/000348.FAN                                    23               -               -               -               -
ACTIONS/000349.FAN                                    23               -               -               -               -
ACTIONS/000350.FAN                                    23               -               -               -               -
ACTIONS/000351.FAN                                    23               -               -               -               -
ACTIONS/000352.FAN                                    23               -               -               -               -
ACTIONS/000353.FAN                                    23               -               -               -               -
ACTIONS/000354.FAN                                    23               -               -               -               -
ACTIONS/000355.FAN                                    23               -               -               -               -
ACTIONS/000356.FAN                                    23               -               -               -               -
ACTIONS/000357.FAN                                    23               -               -               -               -
ACTIONS/000358.FAN                                    24               -               -               -               -
ACTIONS/000359.FAN                                    24               -               -               -               -
ACTIONS/000360.FAN                                    24               -               -               -               -
ACTIONS/000361.FAN                              27/nns=0               -               -               -               -
ACTIONS/000362.FAN                              26/nns=0               -               -               -               -
ACTIONS/000363.FAN                              27/nns=0               -               -               -               -
ACTIONS/000364.FAN                                    23               -               -               -               -
ACTIONS/000365.FAN                              26/nns=0               -               -               -               -
ACTIONS/000366.FAN                              26/nns=0               -               -               -               -
ACTIONS/000367.FAN                              26/nns=0               -               -               -               -
ACTIONS/000368.FAN                              26/nns=0               -               -               -               -
ACTIONS/000369.FAN                              26/nns=0               -               -               -               -
