Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/H1.FAN                                        11    - -                             
SCENES/H2.FAN                                        11    - -                             
SCENES/H3.FAN                                        11    - -                             
SCENES/H4.FAN                                        11    - -                             
SCENES/H5.FAN                                        11    - -                             
SCENES/HAPPY.FAN                                      8    - -                             
SCENES/HAPPY1.FAN                                    24    - happy1                        
SCENES/HAPPY2.FAN                                     8    - -                             
SCENES/HB_OUT_L.FAN                                  26    0 hb_out_l                      
SCENES/HERB1.FAN                                     25    - herb1                         
SCENES/HERB2.FAN                                     25    - herb2                         
SCENES/HERB3.FAN                                     25    - herb3                         
SCENES/HERBSHOP.FAN                                  23    - herbshop                      
SCENES/HERCULE.FAN                                   19    - -                             
SCENES/HERCULE2.FAN                                   9    - -                             
SCENES/HH1.FAN                                       11    - -                             
SCENES/HH2.FAN                                       24    - hh2                           
SCENES/HH3.FAN                                       11    - -                             
SCENES/HH4.FAN                                       24    - hh4                           
SCENES/HH5.FAN                                       11    - -                             
SCENES/HH6.FAN                                       25    - hh6                           
SCENES/HHH4.FAN                                      24    - hhh4                          
SCENES/HHH5.FAN                                      24    - hhh5                          
SCENES/HITGRIL1.FAN                                  24    - hitgril1                      
SCENES/HITGRIL2.FAN                                  24    - hitgril2                      
SCENES/HITGRIL3.FAN                                  24    - hitgril3                      
SCENES/HITGRIL4.FAN                                  24    - hitgril4                      
SCENES/HITGRIL5.FAN                                  24    - hitgril5                      
SCENES/HITGRILL.FAN                                  24    - hitgrill                      
SCENES/HIT_H1.FAN                                    24    - hit_h1                        
SCENES/HIT_H2.FAN                                    24    - hit_h2                        
SCENES/HOM_PIGY.FAN                                  10    - -                             
SCENES/HORSE2_I.FAN                                   9    - -                             
SCENES/HORSE_IN.FAN                                   9    - -                             
SCENES/HORSY_IN.FAN                                   9    - -                             
SCENES/HOR_DEAD.FAN                                  10    - -                             
SCENES/HOTEL.FAN                                      9    - -                             
SCENES/HOTEL1.FAN                                     9    - -                             
SCENES/HOTEL1_1.FAN                                  24    - hotel1_1                      
SCENES/HOTEL2.FAN                                     9    - -                             
